Codigo,Cantidad vendida,Precio unitario,Venta total
0001,1,843.36,843.36
0002,3,1098.30,3294.91
0003,1,1007.75,1007.75
0004,1,1800.13,1800.13
0005,1,1749.74,1749.74
0006,4,1007.75,4031
0007,6,1058.50,6351.01
0008,9,942.29,8480.62
0009,1,728.08,728.08
0010,1,2268.35,2268.35
0011,1,1367.92,1367.92
0012,7,1682.15,11775.02
0013,1,3795.76,3795.76
0014,2,3660.26,7320.51
0015,1,2575.59,2575.59
0016,1,2880.64,2880.64
0017,1,2664.53,2664.53
0018,1,2124.28,2124.28
0019,6,4201.47,25208.82
0020,2,1113.64,2227.27
0021,2,2112.71,4225.42
0022,3,1757.63,5272.89
0023,2,1408.48,2816.95
0024,1,2420.34,2420.34
0025,1,3248.31,3248.31
0026,2,2683.40,5366.8
0027,2,6228.81,12457.62
0028,3,2788.42,8365.25
0029,1,1151.82,1151.82
0030,1,935.72,935.72
0031,3,1007.75,3023.25
0032,1,8033.05,8033.05
0033,1,10611.02,10611.02
0034,1,2109.47,2109.47
0035,1,2320.48,2320.48
0036,2,1728.09,3456.18
0037,2,1707.76,3415.52
0038,2,2109.47,4218.94
0039,1,1728.09,1728.09
0040,1,2088.26,2088.26
0041,1,2390.82,2390.82
0042,1,2461.16,2461.16
0043,1,2461.16,2461.16
0044,2,1406.08,2812.16
0045,1,863.69,863.69
0046,1,1439.96,1439.96
0047,2,1067.09,2134.17
0048,1,1054.38,1054.38
0049,1,1546.75,1546.75
0050,2,1584.03,3168.06
0051,1,1872.16,1872.16
0052,1,2376.40,2376.4
0053,1,338.98,338.98
0054,3,552.34,1657.02
0055,1,388.56,388.56
0056,9,500.67,4506.03
0057,1,847.46,847.46
0058,1,338.98,338.98
0059,3,1163.84,3491.52
0060,4,184.11,736.44
0061,8,512.39,4099.14
0062,1,402.67,402.67
0063,5,906.02,4530.09
0064,8,343.51,2748.08
0065,4,323.79,1295.16
0066,3,631.18,1893.54
0067,1,957.33,957.33
0068,1,516.95,516.95
0069,4,374.15,1496.61
0070,1,295.76,295.76
0071,5,461.87,2309.33
0072,2,611.57,1223.14
0073,6,237.05,1422.3
0074,21,225.30,4731.27
0075,2,200.06,400.12
0076,1,1123.01,1123.01
0077,4,1170.55,4682.21
0078,1,820.47,820.47
0079,5,417.51,2087.54
0080,1,1360.72,1360.72
0081,1,1320.34,1320.34
0082,1,1096.58,1096.58
0083,1,592.37,592.37
0084,2,966.95,1933.9
0085,7,205.61,1439.24
0086,1,1209.45,1209.45
0087,2,957.33,1914.66
0088,1,847.46,847.46
0089,10,704.39,7043.85
0090,3,983.98,2951.94
0091,10,235.63,2356.32
0092,1,2363.56,2363.56
0093,2,406.36,812.71
0094,1,1288.69,1288.69
0095,9,758.38,6825.44
0096,3,1180.87,3542.62
0097,12,341.78,4101.4
0098,4,383.69,1534.75
0099,1,5507.63,5507.63
0100,5,1068.58,5342.92
0101,7,502.42,3516.95
0102,1,5050.85,5050.85
0103,10,326.27,3262.71
0104,1,407.63,407.63
